"ALG"
"BEN"
"BUR"
"BDI"
"CMR"
"COD"
"EGY"
"ETH"
"GHA"
"GBS"
"GUI"
"CIV"
"KEN"
"LBR"
"MAD"
"MAW"
"MLI"
"MRI"
"MOZ"
"NIG"
"NGR"
"RSA"
"RWA"
"SEN"
"SEY"
"SLE"
"SUD"
"TAN"
"TOG"
"UGA"
"ZAM"
"ZIM"
