FERTILZER PRODUCT CATALOGUE,,,,,,,,,,nutrients,,,,,,,,,,,,,,,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS Code,AFO 8 code,AFO 10 code,CPC code,Class,Fertilizer Name (industry),FAO product description,Description,Brand Name,Usage,Type,N,P,K,S,MgO,CaO,Zn,B,Mn,Cu,Fe,Mo,Cl,ALG,BEN,BUR,BDI,CMR,COD,EGY,ETH,GHA,GBS,GUI,CIV,KEN,LBR,MAD,MAW,MLI,MRI,MOZ,NIG,NGR,RSA,RWA,SEN,SEY,SLE,SUD,TAN,TOG,UGA,ZAM,ZIM,Main use [crops],Recommened Application Rates,Source
31052000,,,34641,Complex fertilizers,NPK 10 5 30 + TE,NPK complex >10kg,,,,,10,5,30,,,,,,,,,,TE,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 10 7.5,NPK complex >10kg,,,,,10,10,"7,5",,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 10 10 + TE,NPK complex >10kg,,,,,10,10,10,,,,,,,,,,TE,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 10 20,NPK complex >10kg,,,,,10,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,"Tomato, Eggplant, okra, Pumkins, Impwa",,
31052000,,,34641,Complex fertilizers,NPK 10 10 30,NPK complex >10kg,,,,,10,10,30,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 10 35 + 3MgO + TE,NPK complex >10kg,,,,,10,10,35,0,3,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 15 15 ,NPK complex >10kg,,,,,10,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,"Onion, Carrot, Potato, Tubers",,
31052000,,,34641,Complex fertilizers,NPK 10 18 20 + 6S + 0.8MgO,NPK complex >10kg,,,,,10,18,20,6,"0,8",,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 18 24 + 7S + 0.1B,NPK complex >10kg,,,,,10,18,24,7,0,,,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
31055100,,,34644,Complex fertilizers,NPS 10 20 0 + 5S  + 1.5MgO + 20 CaO,Other nitrogen & phosphates compounds,,MINJUNGU MAZAO,,,10,20,0,5,"1,5",20,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,food crops,200-300 kg/ha,
31052000,,,34641,Complex fertilizers,NPK 10 20 16 + 6S + 2B,NPK complex >10kg,,,,,10,20,16,6,0,0,0,2,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 20 10 + 6S,NPK complex >10kg,,COMPOUND-D,,,10,20,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,"Maize, Cotton",,
31052000,,,34641,Complex fertilizers,NPK 10 20 40 + TE,NPK complex >10kg,,,,,10,20,40,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 26 10 + CaO + Mg + B + Zn,NPK complex >10kg,,,,,10,26,10,0,1,1,1,1,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,"Maize, Sugarcane, Wheat",,
31055100,,,34644,Complex fertilizers,NP 10 30 0,Other nitrogen & phosphates compounds,,,,,10,30,0,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 40 20 + TE,NPK complex >10kg,,,,,10,40,20,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 50 10 + TE,NPK complex >10kg,,,,,10,50,10,,,,,,,,,,TE,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,X,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 52 10 + 1MgO + TE,NPK complex >10kg,,,,,10,52,10,0,1,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 10 54 10 + TE,NPK complex >10kg,,,,,10,54,10,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 11 11 17 + 2MGO + TE,NPK complex >10kg,,,,,11,11,17,0,2,,,,,,,,TE,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 10 8 + TE,NPK complex >10kg,,MUKPAR BOOSTER                              ,,S,12,10,8,0,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,www.mukpar.com/foliar.html
31057000,,,,Complex fertilizers,NK 12 0 32,NK compounds other than Potassium nitrate,,,,,12,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Tomato,,
31052000,,,34641,Complex fertilizers,NPK 12 3 22,NPK complex >10kg,,,,,12,3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 5 30,NPK complex >10kg,,,,,12,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Horticulture,,
31052000,,,34641,Complex fertilizers,NPK 12 6 28 + 7MgO + TE,NPK complex >10kg,,,,,12,6,28,0,7,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 7 24 + 2Mg0 + 7CaO + TE,NPK complex >10kg,,,,,12,7,24,0,2,7,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 9 8 + TE,NPK complex >10kg,,,,,12,9,8,,,,,,,,,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 10 10,NPK complex >10kg,,,,,12,10,10,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 10 18 ,NPK complex >10kg,,,,,12,10,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 12 12,NPK complex >10kg,,,,,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,"Cabbage, Grape, Spinach, Broccoli, Leaf vegetables",,
31052000,,,34641,Complex fertilizers,NPK 12 12 17 + 2MgO,NPK complex >10kg,,,,,12,12,17,0,2,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,X,,,,,,,,,X,,,"Oil-Palm, Cassava",300KG/ha,
31052000,,,34641,Complex fertilizers,NPK 12 12 36 + TE,NPK complex >10kg,,,,,12,12,36,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 22 12,NPK complex >10kg,,,,,12,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Sugarcane,,
31052000,,,34641,Complex fertilizers,NPK 12 22 22 + 0.6 S,NPK complex >10kg,,,,,12,22,22,"0,6",,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 24 12,NPK complex >10kg,,,,,12,24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 30 7 + S+ MgO + CaO + TE,NPK complex >10kg,,,,,12,30,7,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 32 6 + 0.1S + 2MgO + 4CaO + 0.4Zn,NPK complex >10kg,,,,,12,32,6,"0,1",2,4,"0,4",,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31055100,,,34644,Complex fertilizers,NP 12 37 0 + 3S + 7CaO,Other nitrogen & phosphates compounds,,,,,12,32,0,3,7,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31055100,,,34644,Complex fertilizers,NP 12 46 0 + 7S,Other nitrogen & phosphates compounds,,,,,12,46,0,7,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12 52 5 + TE ,NPK complex >10kg,,,,,12,52,5,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 12.5 4 8,NPK complex >10kg,,,,,"12,5",4,8,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
28342100,,,34646,Potastic fertilizers,NK 13 0 46,"Potassium nitrate 
",,KRISTA K,,S,13,0,46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1-0.5kg/1000L of water indoors and 0.1-1.0kg/1000L of water outdoors,www.lanagragroup.com.ua/en/produkcija/dobriva-dlja-pozakorenevogo-pdzhivlennja--fertigac/jara-krsta/krsta-k/
31052000,,,34641,Complex fertilizers,NPK 13 7 32 + 3MgO,NPK complex >10kg,,,,,13,7,32,0,3,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 13 11 11 + TE,NPK complex >10kg,,,,,13,11,11,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 13 13 13 + 3MgO,NPK complex >10kg,,,,,13,13,13,0,3,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31057000,,,,Complex fertilizers,NK 14 0 46,NK compounds other than Potassium nitrate,,MULTI K PHAST,,S,"13,5",0,"46,2",0,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,www.haifa-group.com/products/plant_nutrition/multi_k_potassium_nitrate_fertilizer/multi_k_phast.aspx
31052000,,,34641,Complex fertilizers,NPK 14 7 10 + 1MgO,NPK complex >10kg,,,,,14,7,10,0,1,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 14 13 9 +14S,NPK complex >10kg,,,,,14,13,9,14,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 14 14 14 + 1MgO,NPK complex >10kg,,,,,14,14,14,0,1,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 14 14 20 + 1.5MgO + TE,NPK complex >10kg,,,,,14,14,20,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,Tobacco,,
31052000,,,34641,Complex fertilizers,NPK 14 26 9 + 3S + 0.5Zn + 0.2B,NPK complex >10kg,,,,,14,26,9,3,,,"0,5","0,2",,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 14 28 18 + TE,NPK complex >10kg,,,,,14,28,18,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK  15 9 20 + 9.5 S,NPK complex >10kg,,YARA MILA WINNER,,S,15,9,20,"9,5",0,0,"0,02","0,015",,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,"Pineapple, Mango, Onions, Tomatoes,  Cassava, Yam, Orange, Pepper, Okro, Cucumber","250kg/ha for Pineapple, Tomatoes, Onions and other vegetables, 1-2kg.ha for Mango, 600kg/ha for Cassava/yam, 400-800kg/ha Citrus/Orange",www.yaraghana.com/Products/Our-Prilled-NPKs/YaraMila%E2%84%A2-WINNER.aspx
31057000,,,,Complex fertilizers,NK 15 0 26,NK compounds other than Potassium nitrate,,,,,15,0,26,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 6 12 + 2MgO + TE,NPK complex >10kg,,,,,15,6,12,0,2,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 7 25 ,NPK complex >10kg,,,,,15,7,25,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 9 9 + 3MgO,NPK complex >10kg,,,,,15,9,9,0,3,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 9 20 + TE,NPK complex >10kg,,,,,15,9,20,,,,,,,,,,TE,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,X,,,,,"Pineapple, Mango",,
31052000,,,34641,Complex fertilizers,NPK 15 10 18,NPK complex >10kg,,,,,15,10,18,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,Beans,,
31052000,,,34641,Complex fertilizers,NPK 15 10 13 + 4MgO + TE,NPK complex >10kg,,,,,15,10,13,0,4,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 10 14 + 12CaO + TE,NPK complex >10kg,,,,,15,10,14,0,0,12,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 10 30 + 5S + TE,NPK complex >10kg,,,,,15,10,30,5,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 15 6 + 4MgO,NPK complex >10kg,,,,,15,15,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 15 15 ,NPK complex >10kg,,,,,15,15,15,,,,,,,,,,,,,X,,,,,,X,,,X,,,,,,,,X,X,,,,,X,,,,,,,Cereals,,
31052000,,,34641,Complex fertilizers,NPK 15 22 10 + 4MgO,NPK complex >10kg,,,,,15,22,10,0,4,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 24 10 + 3MgO,NPK complex >10kg,,,,,15,24,10,0,3,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 25 8,NPK complex >10kg,,,,,15,25,8,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 28 6,NPK complex >10kg,,,,,15,28,6,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 28 10 + 6S + 0.3B,NPK complex >10kg,,,,,15,28,10,6,"0,3",,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 15 30 15 + TE,NPK complex >10kg,,,,,15,30,15,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 16 16 12,NPK complex >10kg,,WUXAL MACROMIX ,,,16,16,12,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,www.aglukon.com/3_products/foliar_fertilizers/products.php
31057000,,,,Complex fertilizers,NK 16 0 24,NK compounds other than Potassium nitrate,,,,,16,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Vegetables,,
31052000,,,34641,Complex fertilizers,NPK 16 6 12 + 2MgO + TE,NPK complex >10kg,,,,,16,6,12,0,2,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 16 6 17 + TE,NPK complex >10kg,,,,,16,6,17,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 16 6 21 + 6S + Zn + B,NPK complex >10kg,,,,,16,6,21,6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Coffee,,
31052000,,,34641,Complex fertilizers,NPK 16 7 15 + 2S,NPK complex >10kg,,,,,16,7,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 16 8 16 + TE,NPK complex >10kg,,,,,16,8,16,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 16 8.5 23 + 5S,NPK complex >10kg,,,,,16,"8,5",23,5,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 16 16 16,NPK complex >10kg,,,,,16,16,16,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,X,,,,,"Coffee, Horticulture",,
31052000,,,34641,Complex fertilizers,NPK 16 18 12,NPK complex >10kg,,COMPOUND - C,,,16,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,"Tobacco, Cotton",,
31052000,,,34641,Complex fertilizers,NPK 16 21 10 + 4MgO,NPK complex >10kg,,,,,16,21,10,0,4,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 17 7 17,NPK complex >10kg,,,,,17,7,17,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 17 7 16 + 2MgO + TE,NPK complex >10kg,,,,,17,7,16,0,2,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 17 8 25 ,NPK complex >10kg,,,,,17,8,25,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 17 10 9 + 5MgO + TE,NPK complex >10kg,,,,,17,10,9,0,5,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 17 12 11 +3MgO + TE,NPK complex >10kg,,,,,17,12,11,0,3,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 17 17 14,NPK complex >10kg,,COMPOUND - W,,,17,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,Wheat,,
31052000,,,34641,Complex fertilizers,NPK 17 17 17,NPK complex >10kg,,,,,17,17,17,,,,,,,,,,,,,X,,,,,,X,,,,X,,,,,,,,,,X,,,,,X,,X,,,"Sugarcane, Coffee, Potato, Pea, Pinapple",,
31052000,,,34641,Complex fertilizers,NPK 18 4 12,NPK complex >10kg,,,,,18,4,12,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,Coffee,,
31052000,,,34641,Complex fertilizers,NPK 18 5 14,NPK complex >10kg,,,,,18,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 18 5 18 + 2MgO,NPK complex >10kg,,,,,18,5,18,0,2,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 18 6 12 ,NPK complex >10kg,,,,,18,6,12,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 18 9 27 + 2MgO + TE,NPK complex >10kg,,,,,18,9,27,0,2,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 18 12 22 + TE,NPK complex >10kg,,,,,18,12,22,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 18 18 18 + 3MgO,NPK complex >10kg,,,,,18,18,18,0,3,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 18 18 18 + TE,NPK complex >10kg,,,,,18,18,18,,,,,,,,,,TE,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 18 22 5,NPK complex >10kg,,,,,18,22,5,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 18 24 10 + 1MgO,NPK complex >10kg,,,,,18,24,10,0,1,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31055100,,,34644,Complex fertilizers,NP 18 44 0 ,Other nitrogen & phosphates compounds,,,,,18,44,0,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 18.5 9 24 + 2.2S + 2MgO,NPK complex >10kg,,,,,"18,5",9,24,"2,2",2,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 19 19 19 + 1MgO + TE,NPK complex >10kg,,POLYFEED DRIP,,S,19,19,19,0,1,0,"0,0075","0,01","0,025","0,0055","0,05","0,0035",,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,X,,,,,,,www.haifa-group.com/products/plant_nutrition/water_soluble_fertilizers/poly_feed_drip/19_19_19_1mgo_with_micronutrients.aspx
31052000,,,34641,Complex fertilizers,NPK 19 4 19 + 2S + 3MgO + TE,NPK complex >10kg,,,,,19,4,19,2,3,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 19 9 19,NPK complex >10kg,,,,,19,9,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
31052000,,,34641,Complex fertilizers,NPK 19 19 19,NPK complex >10kg,,,,,19,19,19,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,X,,,,,Flowers,,
31055100,,,34644,Complex fertilizers,NP 19 38 0 + 7S,Other nitrogen & phosphates compounds,,,,,19,38,0,7,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 20 20 20 + TE,NPK complex >10kg,,AGRO FEED,,S,20,20,20,0,,,,,,,,,TE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.mukpar.com/foliar.html
31052000,,,34641,Complex fertilizers,NPK 20 3.5 11.6 + 5S + 1.2MgO + TE,NPK complex >10kg,,YARA VITA TRACEL SP,,S,20,"3,5","11,6",5,"1,2",0,"0,14","0,04","0,26","0,2","0,02","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,www.yara.com.au/files/tracel_sp_front.pdf
31052000,,,34641,Complex fertilizers,NPK 20 10 10 + 1MgO,NPK complex >10kg,,FARMCHEM SOLUFEED,,S,20,10,10,0,1,,"0,002","0,01","0,01","0,002","0,02","0,0012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5-1kg/ha in 1000L of water,www.farmchemafrica.com/product_info.php?cPath=26&products_id=122&osCsid=f7a3cb436d9d7eedfa17c669a3164b11
31052000,,,34641,Complex fertilizers,NPK 20 6 18 + 2MgO,NPK complex >10kg,,,,,20,6,18,0,2,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 20 10 10,NPK complex >10kg,,,,,20,10,10,,,,,,,,,,,,,,X,,,,,X,,,,X,,,,,,,X,X,,X,,,,,X,,X,,,"Coffee, Cereals",400kg/ ha for Cereals,
31052000,,,34641,Complex fertilizers,NPK 20 10 5,NPK complex >10kg,,,,,20,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
31052000,,,34641,Complex fertilizers,NPK 20 10 17,NPK complex >10kg,,,,,20,10,17,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 20 10 20,NPK complex >10kg,,,,,20,10,20,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31055100,,,34644,Complex fertilizers,NP 20 20 0,Other nitrogen & phosphates compounds,,COMPOUND-R,,,20,20,0,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,Maize and Sugarcane,,
31052000,,,34641,Complex fertilizers,NPK 20 20 4 + TE,NPK complex >10kg,,,,,20,20,4,,,,,,,,,,TE,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 20 20 8,NPK complex >10kg,,,,,20,20,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 20 20 20,NPK complex >10kg,,,,,20,20,20,,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,X,,,,X,,,,,
31052000,,,34641,Complex fertilizers,NPK 20 20 20 + 1MgO + TE,NPK complex >10kg,,,,,20,20,20,,,,,,,,,,TE,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,X,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 20 50 10,NPK complex >10kg,,,,,20,50,10,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 21 6 12 + 4S +6MgO + 15B + 1.5Zn ,NPK complex >10kg,,,,,21,6,12,4,6,0,"1,5",15,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 21 7 14,NPK complex >10kg,,,,,21,7,14,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,Cereals,,
31052000,,,34641,Complex fertilizers,NPK 21 7 21 + TE,NPK complex >10kg,,,,,21,7,21,,,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 21 10 8 + 3MgO + TE,NPK complex >10kg,,,,,21,10,8,0,3,,,,,,,,TE,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
