FERTILZER PRODUCT CATALOGUE,,,,,,,,,,nutrients,,,,,,,,,,,,,,,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS Code,AFO 8 code,AFO 10 code,CPC code,Class,Fertilizer Name (industry),FAO product description,Description,Brand Name,Usage,Type,N,P,K,S,MgO,CaO,Zn,B,Mn,Cu,Fe,Mo,Cl,ALG,BEN,BUR,BDI,CMR,COD,EGY,ETH,GHA,GBS,GUI,CIV,KEN,LBR,MAD,MAW,MLI,MRI,MOZ,NIG,NGR,RSA,RWA,SEN,SEY,SLE,SUD,TAN,TOG,UGA,ZAM,ZIM,Main use [crops],Recommened Application Rates,Source
31053000,,,34642,Complex fertilizers,DAP,Diammonium phosphate (DAP),Di Ammonium Phosphate                       ,,Fertilizers,S,18,46,0,0,,,,,,,,,,,,X,X,X,X,,X,X,,,X,X,,X,,X,,X,X,,,X,X,,,,X,X,X,X,,"Maize, Beans, Tea, Wheat + Barley, Sugarcane, flowers and Rice",,
31054000,,,34643,Complex fertilizers,MAP,Monoammonium phosphate (MAP),Mono Ammonium Phosphate,,,S,11,52,0,0,,,,,,,,,,,X,X,,X,,,,X,,,X,X,,X,,X,,X,,X,,,X,,,,X,X,X,X,,"Sugarcane, Flowers",,
31052000,,,34641,Complex fertilizers,NPK (Known Grades),NPK complex >10kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
31055100,,,34644,Complex fertilizers,NP,Other nitrogen & phosphates compounds,Nitrogen and Phosphorus Fertilizers,,,,20,25,0,0,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,X,,X,,,,,,,,,,,,,,
28342100,,,34646,Complex fertilizers,Potassium Nitrate,"Potassium nitrate 
",,,,S,13,0,45,0,,,,,,,,,,,,,,,X,,,X,,,,X,,,,,,,,,,,,,,,X,,,,,Tobacco,,
31056000,,,34645,Complex fertilizers,PK Compounds,PK compounds,Phosphorus and Potassium ,,,S,0,20,25,0,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,X,,,,,,,,,,,,X,,,,
31059000,,,34649,Complex fertilizers,NPK (Unknown Grade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,X,,,,,,,
25302000,,,,,Kieserite,,,,Soil enhancers,S,0,0,0,20,27,55,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
28250000,,,,,Agric Lime,,,,Soil enhancer,S,0,0,0,0,20,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,
28272000,,,,,Calcium chloride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
28401900,,,,,Borax,,,,,S,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
,,,,,Dolimite,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28332500,,,,,Copper Sulphate,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28342990,,,,,Magnesium Nitrate,,,,Soil enhancer,S,11,0,0,0,"9,6",,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,X,,,Flowers,,
28332100,,,,,Magnesium Sulphate,,,,,S,0,0,0,14,"9,1",,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,X,,,,,,,X,,X,X,,Flowers,,
28352400,,,34645,Complex fertilizers,MKP,,Monopotassium phosphate,,,S,0,34,52,0,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,X,,,,,
28332930,,,,,Zinc Sulphate,,,,,S,0,0,0,"35,5",,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,X,,,,,
31010000,,,34654,Organic Fertilizers,Organic Fertilizers,Organic material,,ELFER BIOSOIL,,L,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK,NPK complex >10kg,,ELFERT K,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31010000,,,34654,Organic Fertilizers,Organic Fertilizers,Organic material,,FARMCHEM SIAPTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31042000,,,34631,Potash fertilizers,MOP,Potassium chloride (Muriate of potash),Potassium Chloride or Muriate Of Potash ,KORN-KALI,,S,0,0,40,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,www.kali-gmbh.com/uken/fertiliser/products/kornkali.html
25100000,,,16110,Phosphate fertilizers,MRP,Phosphate rock,,MINJINGU ROCK PHOSPHATE,,S,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,food / cash crops,200-300 kg/ha,
31029100,,,34619,Nitrogenous Fertilizers,Nitrogenous Fertilizers,,,OMEX CALMAX,,L,15,0,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tomato, Potato, Horticulture, ornamentals",1.5-3.5L/ha 30-70ml/20L,www.murphychemicals.co.ke/agro_products.php?products_id=50
31026000,,,,Nitrogenous fertilizers,Calcium Nitrate,,,OMNICAL,,S,"15,5",0,0,0,0,"19,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.agsure.com.au/fertiliser/soluble-solids/calcium/omnia-omnical-calcium-nitrate-25kg
31029100,,,34619,Nitrogenous Fertilizers,Nitrogenous Fertilizers,,,MAVUNO TOP DRESSING FERTILIZER,,S,30,0,0,5,0,10,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,,,www.fipsafrica.org/downloads/whyusemavuno.pdf
31043000,,,34632,Potash fertilizers,SOP,Potassium sulphate,Potassium Sulphate                          ,PATENTKALI                                   ,,S,0,0,30,42,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.kali-gmbh.com/uken/fertiliser/products/patentkali.html
31010000,,,34654,Organic Fertilizers,Organic Fertilizers,Organic material,,WOKOZIM,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.oshochem.com/products/agriculture-products/bio-stimulants/wokozim-granular/
31029100,,,34619,Nitrogenous Fertilizers,Nitrogenous Fertilizers,,,YARA AMIDAS,,S,40,0,0,"5,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.yara.us/agriculture/products/yaravera/2458-yaravera-amidas-40-0-0/default.aspx
