"ADM2_CODE","ADM2_NAME","EVI","Precipitat"
40943,"Eslamabad-e gharb",806.9821777,83.78427124
40964,"Gilan-e gharb",1254.513428,79.75397491
40974,"Hersin",680.8851318,68.76258087
40980,"Javanrud",1020.473022,108.1063995
40989,"Kangavar",-186.3296051,67.03982544
40995,"Kermanshah",887.8414307,74.17093658
41062,"Paveh",884.4610596,119.0279465
41066,"Qasr-e shirin",787.1082153,35.81013489
41082,"Sahneh",305.0322571,68.59354401
41087,"Sar-e pol-e zahab",1564.707153,96.90809631
41119,"Sonqor",-263.4269104,66.64113617
40917,"Busheher",1010.080688,57.71028519
40927,"Dashtestan",1533.161133,56.90225983
40928,"Dashty",1295.783691,51.59933472
40929,"Dayyer",1280.054932,44.79199982
40933,"Deylaman",1339.42749,51.59421539
40962,"Genaveh",1210.789917,53.94093704
40988,"Kangan",1491.165405,46.20227051
41126,"Tangestan",1250.046021,55.70590591
40878,"Ardel",-129.1272736,61.41476822
40912,"Borujen",-315.883667,49.91249084
40951,"Farsan",-266.2101135,60.40000153
41017,"Lordegan",-114.4854202,58.23379135
41109,"Shar-e kord",-210.5937958,53.22787857
40865,"Administrative unit not available",802.2642822,9.974126816
40867,"Ahar",-132.3271179,24.93073654
40885,"Azarshahr",-52.65415192,30.31796265
40894,"Banab",-34.0820694,40.02329254
40913,"Bostanabad",-337.4362793,29.24171829
40972,"Hashtrud",-47.15499878,39.81224442
40973,"Heris",-318.3139648,25.49435997
40982,"Jolfa",436.4399109,21.51783943
40986,"Kalibar",484.7036438,25.88251114
41024,"Malekan",-187.9276123,43.52523041
41026,"Maragheh",-182.5538635,34.79916
41027,"Marand",-78.15479279,22.94583893
41038,"Mianeh",307.6845093,42.00530243
41059,"Osku",-116.6549454,27.97775459
41088,"Sarab",-102.1885529,28.48824501
41101,"Shabestar",12.34499264,25.15829468
41121,"Tabriz",-117.4994812,25.60401535
40875,"Aran Va Bidgol",475.7872009,25.42204666
40879,"Ardestan",410.2590332,17.74762917
40903,"Barkhvar va meymeh",415.7815552,25.53075981
40941,"Esfehan",434.5198059,20.57073784
40948,"Falavarjan",168.2784119,23.45974541
40949,"Faridan",-256.7366333,46.08921814
40954,"Fereydunshahr",-319.3945923,52.33250046
40966,"Golpaygan",140.1929474,35.80731583
40991,"Kashan",371.3492126,26.38924026
41000,"Khomeinishahr",665.8248901,23.80608368
41007,"Khvansar",-161.4671326,38.78980637
41015,"Lanjan",-50.36268997,37.9199295
41041,"Mobarakeh",4.723298073,29.91955376
41042,"Naein",501.2789001,14.12298203
41045,"Najafabad",157.2615051,32.52553177
41048,"Natanz",371.8901672,21.44463921
41084,"Samirom",-339.0563965,50.00891876
41107,"Shahreza",132.8658447,33.89679718
41131,"Tiran",31.16301727,39.27515411
40860,"Abadeh",358.0791626,37.20552826
40880,"Arsanjan",572.8894043,58.07646561
40904,"Bavanat",182.4803619,47.55809784
40924,"Darab",962.2078247,49.87857056
40939,"Eqlid",-209.3786774,51.40768433
40945,"Estahban",992.2514038,59.9331398
40952,"Fasa",1027.060181,61.31597137
40955,"Firuzabad",1186.772339,63.35464859
40977,"Jahrom",985.7369385,64.55780792
40993,"Kazerun",1527.236572,60.03217316
41002,"Khorrambid",-221.4529114,49.30503082
41013,"Lamerd",1341.904785,43.37031937
41016,"Lar",1065.697266,47.47605515
41025,"Mamasani",1047.470703,59.65581894
41029,"Marvdasht",-246.2089844,63.59712219
41050,"Neyriz",675.8603516,51.68379211
41099,"Sepidan",-497.3756409,67.05604553
41111,"Shiraz",435.8045654,76.07066345
40871,"Amlash",1564.671509,50.58395386
40883,"Astane-ye ashrafieh",1975.59314,114.4846268
40884,"Astara",1645.588257,62.81460571
40897,"Bandar-e anzali",1389.473145,136.3703003
40957,"Fuman",1534.400269,75.12944031
41010,"Kuchesfehan",1961.23999,127.6800385
41012,"Lahijan",2212.213135,108.2511215
41014,"Langrud",2013.848755,88.21504211
41030,"Masal",1937.411133,82.30863953
41076,"Rezvanshahr",1840.646484,77.51075745
41079,"Rudbar",1054.862793,46.01216125
41080,"Rudsar",1155.307495,48.49391174
41100,"Seyahkal",1379.273926,54.57115555
41103,"Shaft",1578.21521,95.66305542
41118,"Someehsara",1986.116577,131.0962524
41128,"Tavalesh",1598.901978,60.11242676
40881,"Asadabad",-197.3012543,62.65789413
40892,"Bahar",-341.2064209,55.3823967
40971,"Hamedan",-233.1471863,47.07798767
40984,"Kabudarahang",-306.692749,51.02522278
41023,"Malayer",-231.1740723,54.44045639
41043,"Nahavand",-197.313446,65.02313232
41074,"Razan",-347.006958,39.59874725
41135,"Tuyserkan",-39.42611313,60.0892067
40901,"Bardeskan",625.501709,23.19757271
40909,"Birjand",481.499115,26.902668
40910,"Bojnord",641.8710327,27.88971519
40920,"Chenaran",929.9087524,28.0643158
40923,"Dar-e Gaz",896.2572632,27.18127251
40940,"Esfarayen",686.6734619,27.04068565
40950,"Fariman",653.4115601,34.4187851
40953,"Ferdos",589.5742798,23.07221794
40959,"Gaenat",672.1369629,32.81492615
40967,"Gonabad",622.7779541,28.76055145
40978,"Jajarm",638.3157959,28.03468895
40992,"Kashmar",781.8616333,28.64154053
41006,"Khvaf",697.1693115,36.16664505
41031,"Mashhad",783.0018921,31.50411797
41044,"Nahbandan",422.1130676,19.94973755
41053,"Nishabur",846.7407227,26.14031029
41069,"Quchan",762.0708618,27.57338524
41081,"Sabzevar",685.1990967,25.47327232
41089,"Sarakhs",1040.92627,35.56186295
41113,"Shirvan",545.9246216,27.69727135
41120,"Tabas",575.6860962,16.58552551
41129,"Taybad",690.3424072,40.43241119
41133,"Torbat-e heydarieh",759.2546997,34.91430283
41134,"Torbat-e jam",725.6824951,41.00733948
40864,"Abumusa",1479.5,24.76922989
40896,"Bandar-e abbas",733.5428467,41.3507843
40899,"Bandar-elengeh",866.2244263,36.79895401
40963,"Geshm",693.9741821,35.46932983
40970,"Hajiabad",673.1104126,41.75
40979,"Jask",468.0094604,33.89471817
41039,"Minab",660.6612549,36.21965027
41078,"Rudan",705.6959839,34.23249817
40862,"Abdanan",1364.42981,71.74752808
40925,"Darrehshahr",1368.306519,71.84816742
40930,"Dehloran",1383.161865,59.25035477
40946,"Eylam",1073.943237,66.0690155
40947,"Eyvan",1135.514771,74.41873932
41033,"Mehran",1195.781372,56.63702774
41112,"Shirvan-e chardavol",1236.501465,70.33798981
40890,"Baft",621.0959473,39.48471451
40893,"Bam",464.3044434,14.21882725
40902,"Bardsir",605.8592529,39.14945221
40981,"Jiroft",643.2141113,27.29173851
40985,"Kahnug",578.7039795,27.84681129
40994,"Kerman",551.0158081,18.27352333
41070,"Rafsanjan",589.5044556,27.98958588
41073,"Ravar",662.9902954,20.19815826
41106,"Shahr_e babak",457.8721008,35.80645752
41116,"Sirjan",592.5106201,42.33448029
41141,"Zarand",660.5037842,25.31914139
40859,"Abadan",275.904541,36.85449982
40868,"Ahvaz",1278.119629,54.56671906
40873,"Andimeshk",1347.936401,84.29445648
40891,"Bagh-e Malek",1267.485229,75.08335876
40895,"Bandar-e aahshahr",963.1707764,48.98505402
40905,"Behbehan",1739.643066,54.96369553
40926,"Dasht-e azadegan",1340.600098,46.99126053
40934,"Dezful",1261.637817,82.79089355
40938,"Eizeh",960.0137329,74.07341003
41004,"Khorramshahr",580.1019287,39.17760468
41032,"Masjed-e soleiman",1290.482056,88.1542511
41056,"Omidiyyeh",1304.130371,56.53626251
41071,"Ramhormoz",1281.922119,68.94983673
41102,"Shadgan",685.1726685,42.8835907
41114,"Shush",1657.050171,66.85965729
41115,"Shushtar",1363.88623,81.40393829
40914,"Boyyerahmad",-211.7502594,59.47876358
40936,"Dogonbadan",1466.333862,56.91397476
41008,"Kohkiluyeh",905.9613037,63.05231857
40900,"Baneh",152.0249176,109.5424118
40907,"Bijar",-258.6878662,60.98805237
40935,"Divandarreh",-358.109314,67.41397858
40987,"Kamyaran",228.0297394,82.67367554
41028,"Marivan",543.333252,119.822464
41068,"Qorveh",-256.6680603,63.81712723
41085,"Sanandaj",178.0853882,82.90375519
41086,"Saqez",-184.22435,73.64702606
18255,"Administrative unit not available",802.2642822,9.974126816
40870,"Aligudarz",-29.94480705,61.15860367
40886,"Azna",-256.0266418,56.78740692
40911,"Borugerd",-139.6957245,62.80638123
40931,"Delfan",-1.208665609,68.64161682
40937,"Dorud",-81.08457947,66.69623566
41001,"Khorramabad",462.6500549,76.98925781
41011,"Kuhdasht",1128.287964,73.34700012
41064,"Pol-e dokhtar",1035.582031,81.35307312
41097,"Selseleh",12.29954243,70.18270874
40874,"Arak",-188.788269,47.36146545
40882,"Ashtiyan",-115.8380661,38.79089355
40932,"Delijan",220.9145355,29.82912254
40999,"Khomain",-253.2305145,42.07634735
41019,"Mahallat",52.38278198,33.90147018
41091,"Sarband",-291.4135437,54.76366043
41095,"Saveh",238.1968079,33.291008
41122,"Tafresh",-23.36164856,39.93710709
40872,"Amol",683.3424072,41.25548172
40887,"Babol",1545.620483,66.40711212
40888,"Babolsar",1467.975586,83.03220367
40906,"Behshahr",1453.597046,44.35873032
40919,"Chalus",832.1469727,41.24927139
40958,"Gaemshahr",2266.238281,83.68880463
40983,"Joybar",1715.617188,77.64745331
41020,"Mahmudabad",1380.692627,93.10089874
41049,"Neka",1557.768433,44.20218658
41054,"Noshahr",1177.753662,49.24084854
41055,"Nur",639.649231,42.15327072
41072,"Ramsar",1094.705688,42.58200073
41093,"Sari",1528.430786,48.87578964
