adm1_code,adm1_label,valueX,valueY
18319.00000,Pescara,128.5,367.0
25793.00000,Burgos,524.88,150.52
18372.00000,Isernia,626.3333333333334,589.6666666666666
16276.00000,Eure,259.64285714285717,724.0
18370.00000,Pesaro,266.3333333333333,776.0
16535.00000,Schwaben,262.04545454545456,997.6363636363636
18317.00000,Chieti,121.75,363.75
25795.00000,Palencia,337.125,214.5
18341.00000,Reggio Emilia,204.0,1039.5
18364.00000,Pavia,145.6,1132.2
16289.00000,Pyrenees-Orientales,950.0,722.5
16244.00000,Pyrenees-Atlantique,425.57142857142856,728.9285714285714
18332.00000,Napoli,226.0,470.5
18377.00000,Novara,486.5,1630.0
16249.00000,Calvados,289.8888888888889,326.3333333333333
18369.00000,Macerata,461.42857142857144,663.5714285714286
16319.00000,Vienne,932.1428571428571,503.7857142857143
18398.00000,Trapani,78.0,77.16666666666667
16536.00000,Unterfranken,414.27272727272725,898.5454545454545
18327.00000,Vibo Valentia,101.0,152.0
16534.00000,Oberpfalz,213.75,646.35
16296.00000,Moselle,512.9230769230769,873.4615384615385
18352.00000,Genova,354.0,846.5
16316.00000,Charente,519.9,707.1
16328.00000,Drome,1175.5,925.1875
18395.00000,Palermo,46.285714285714285,46.0
16293.00000,Haute-Vienne,560.8181818181819,676.8181818181819
18347.00000,Frosinone,800.0,871.75
16245.00000,Allier,923.9375,1025.3125
18367.00000,Ancona,297.6666666666667,1020.6666666666666
16272.00000,Doubs,870.2727272727273,1072.1818181818182
18351.00000,Viterbo,513.9,542.8
16318.00000,Deux-Sevres,877.0909090909091,466.3636363636364
18410.00000,Trento,802.4615384615385,1520.3846153846155
18415.00000,Padova,501.5,1674.0
16313.00000,Aisne,531.5714285714286,562.9285714285714
18381.00000,Bari,120.71428571428571,497.2857142857143
25785.00000,Teruel,755.5,310.2857142857143
18397.00000,Siracusa,189.0,76.25
25790.00000,Santa Cruz De Tenerife,156.0,48.0
16292.00000,Creuse,542.8181818181819,741.6363636363636
16256.00000,Cotes-d'Armor,118.0,120.6923076923077
16526.00000,Freiburg,533.5238095238095,1549.2857142857142
16305.00000,Tarn-et-Garonne,440.6,774.6
18328.00000,Avellino,816.5,388.75
18346.00000,Udine,493.25,1485.0
18354.00000,La Spezia,172.0,1018.5
16302.00000,Hautes-Pyrenees,1048.0,595.625
25807.00000,Girona,1570.6923076923076,809.6153846153846
16530.00000,Mittelfranken,313.2142857142857,1072.7857142857142
18361.00000,Lodi,107.0,864.0
18404.00000,Massa-carrara,164.5,1163.0
25827.00000,"Rioja, La",914.625,328.125
25798.00000,Soria,520.2941176470588,379.11764705882354
18334.00000,Bologna,244.25,880.25
18392.00000,Catania,110.66666666666667,112.16666666666667
16311.00000,Sarthe,567.7777777777778,658.5555555555555
25799.00000,Valladolid,279.7142857142857,115.28571428571429
16243.00000,Lot-et-Garonne,344.75,587.25
25817.00000,Lugo,146.33333333333334,90.27777777777777
16332.00000,Rhone,1156.4285714285713,965.7142857142857
18342.00000,Rimini,339.0,892.0
25788.00000,"Balears, Illes",17.0,23.083333333333332
25777.00000,Cadiz,23.333333333333332,67.0
16248.00000,Puy-de-Dome,1002.2142857142857,1130.5
18405.00000,Pisa,128.0,1122.6
16264.00000,Loir-et-Cher,677.0769230769231,750.1538461538462
18394.00000,Messina,71.75,51.25
16326.00000,Ain,1097.25,1002.5
16330.00000,Isere,1457.0666666666666,1040.4
25796.00000,Salamanca,58.333333333333336,87.0
16273.00000,Haute-Saone,683.5833333333334,840.0833333333334
25819.00000,Pontevedra,23.166666666666668,98.0
18333.00000,Salerno,339.375,340.5
25826.00000,Vizcaya,337.2,133.0
18323.00000,Catanzaro,205.0,279.0
16283.00000,Val-d'Oise,252.66666666666666,662.6666666666666
25786.00000,Zaragoza,643.375,305.21875
25800.00000,Zamora,198.38888888888889,61.166666666666664
25803.00000,Cuenca,163.03125,196.84375
18388.00000,Oristano,69.75,155.75
16331.00000,Loire,1296.5,1251.4
18385.00000,Taranto,110.4,175.4
16320.00000,Alpes-de-Haute-Provence,1259.5333333333333,1091.6666666666667
16277.00000,Seine-Maritime,154.36363636363637,603.5454545454545
16321.00000,Alpes-maritimes,983.2222222222222,835.1111111111111
18416.00000,Rovigo,173.0,911.0
18406.00000,Pistoia,286.0,1156.0
18320.00000,Teramo,499.0,404.0
18384.00000,Lecce,34.6,94.6
25816.00000,"Coruna, La",16.176470588235293,82.22222222222223
25805.00000,Toledo,37.52,131.8
25797.00000,Segovia,203.30769230769232,117.3076923076923
25814.00000,Badajoz,18.42105263157895,34.43589743589744
16295.00000,Meuse,454.75,884.2
18329.00000,Benevento,852.5,453.5
16246.00000,Cantal,708.0,804.9090909090909
16310.00000,Mayenne,889.6,637.1
25825.00000,Guipuzcoa,229.5,358.0
18350.00000,Roma,723.9,798.9
18321.00000,Matera,394.6666666666667,337.3333333333333
16290.00000,Aude,532.7,966.0
18360.00000,Lecco,1352.0,1918.5
16333.00000,Savoie,1311.7,1149.7
25806.00000,Barcelona,627.6428571428571,505.07142857142856
16317.00000,Charente-Maritime,441.0,540.0
18413.00000,Aosta,1660.8333333333333,1860.1666666666667
25823.00000,Navarra,503.5882352941176,629.1764705882352
18400.00000,Firenze,638.4,756.4
16533.00000,Oberfranken,226.8,778.8
18409.00000,Bolzano,1088.611111111111,847.0
16531.00000,Niederbayern,189.9047619047619,727.9047619047619
18420.00000,Vicenza,507.75,1854.5
18363.00000,Milano,411.8,1515.4
16303.00000,Lot,530.1111111111111,754.1111111111111
16274.00000,Jura,1026.625,1044.625
