"BDI"
"BEN"
"BFA"
"CIV"
"CMR"
"COD"
"DZA"
"EGY"
"ETH"
"GHA"
"GNB"
"GNQ"
"KEN"
"LBR"
"MDG"
"MLI"
"MOZ"
"MRT"
"MWI"
"NER"
"NGA"
"RWA"
"SDN"
"SEN"
"SYC"
"TGO"
"TZA"
"UGA"
"ZMB"
"ZWE"
