"ADM2_CODE","ADM2_NAME","POP_2010","POV_125"
22821,"Igabi",506350,0.692586
22822,"Ikara",602600,0.771162
22823,"Jaba",151625,0.511178
22824,"Jema'a",437338,0.593734
22825,"Kachia",576793,0.552224
22826,"Kaura",216692,0.587488
22827,"Kauru",115982,0.716488
22828,"Lere",382645,0.727766
22829,"Makarfi",352291,0.751085
22830,"Sabon-ga",500720,0.679473
22831,"Soba",269664,0.729869
22832,"Tudun",197751,0.418602
22833,"Zangonka",351804,0.602522
22834,"Zaria",69442,0.701474
22835,"Albasu",144482,0.815245
22836,"Bagwai",160237,0.818316
22837,"Bebeji",464111,0.802736
22838,"Bichi",323164,0.817835
22839,"Bunkure",196286,0.809474
22840,"Dala",547591,0.281985
22841,"Dambatta",442369,0.836636
22842,"Dawakink",367421,0.801016
22843,"Dawakint",259753,0.807966
22844,"Gabasawa",254495,0.826003
22845,"Gaya",518400,0.839359
22846,"Gezawa",380645,0.789717
22847,"Gwarzo",176064,0.806863
22848,"Kabo",139681,0.817694
22849,"Kano",251390,0.371968
22850,"Karaye",384129,0.81078
22851,"Kumbotso",158312,0.7483
22852,"Kura",356892,0.791305
22853,"Minjibir",226880,0.815793
22854,"Nassaraw",1500450,0.371657
22855,"Rano",297860,0.824636
22856,"Rimingad",283798,0.803392
22857,"Shanono",176289,0.815817
22858,"Sumaila",237953,0.836253
22859,"Takai",269346,0.840662
22860,"Tsanyawa",252220,0.835376
22861,"Tudunwad",405576,0.793525
22862,"Ungogo",792722,0.734361
22863,"Wudil",367050,0.804803
22864,"Bakori",337097,0.784159
22865,"Batsari",166470,0.751658
22866,"Bindawa",170158,0.805436
22867,"Daura",689418,0.831634
22868,"Dutsin-m",391873,0.781582
22869,"Faskari",366690,0.782298
22870,"Funtua",388533,0.774577
22871,"Ingawa",190331,0.839996
22872,"Jibia",179534,0.7516
22873,"Kaita",153904,0.801317
22874,"Kankara",268023,0.814881
22875,"Kankiya",328444,0.812674
22876,"Katsina (k)",515905,0.743254
22877,"Malumfas",481339,0.807699
22878,"Mani",214588,0.814816
22879,"Mashi",302843,0.81686
22880,"Musawa",233673,0.816117
22881,"Rimi",292442,0.790083
22882,"Safana",288840,0.785156
22883,"Zango",442025,0.85174
22884,"Arewa",291873,0.537677
22885,"Argungu",360315,0.533765
22886,"Bagudo",293064,0.631157
22887,"Birninke",278305,0.517949
22888,"Bunza",189575,0.519184
22889,"Dandi",174407,0.525119
22890,"Gwandu",92853,0.549869
22891,"Jega",250757,0.553114
22892,"Koko/bes",165960,0.625013
22893,"Maiyama",200817,0.55359
22894,"Ngaski",141653,0.750686
22895,"Sakaba",361700,0.781973
22896,"Suru",187854,0.576095
22897,"Yauri",227548,0.699177
22898,"Zuru",261321,0.711756
22899,"Adavi",156716,0.553922
22900,"Ajaokuta",577836,0.629118
22901,"Ankpa",420906,0.686466
22902,"Bassa",137437,0.626837
22903,"Dekina",286762,0.630872
22904,"Ijumu",109128,0.562441
22905,"Kabba/bu",156811,0.637691
22906,"Kogi",115314,0.600056
22907,"Kotonkar",193134,0.668269
22908,"Ofu",141326,0.628627
22909,"Okehi",262033,0.583738
22910,"Okene",400533,0.523315
22911,"Olamabor",144652,0.695797
22912,"Yagbaeas",180533,0.61256
22913,"Yagbawes",162006,0.625547
22914,"Asa",151321,0.517951
22915,"Baruten",208591,0.506713
22916,"Edu",332779,0.663495
22917,"Ifelodun",219395,0.597649
22918,"Ilorinwe",884495,0.458142
22919,"Irepodun",349269,0.566859
22921,"Kaiama",132283,0.582982
22922,"Moro",118363,0.533987
22923,"Offa",124722,0.400479
22924,"Oyun",86036,0.559607
22925,"Agege",910966,0.10631
22926,"Badagary",330760,0.573224
22927,"Epe",199636,0.539432
22928,"Eti-osa",239675,0.490951
22929,"Ibeju/lekki",124149,0.575621
22930,"Ikeja",2493480,0.351785
22931,"Ikorodu",560064,0.480519
22932,"Lagosisland",1106790,0.294017
22933,"Mainland",1122930,0.464165
22934,"Mushin",1131850,0.0269909
22935,"Ojo",2229670,0.393383
22936,"Shomolu",477776,0.235664
22937,"Agaie",134212,0.610737
22938,"Agwara",52575,0.719718
22939,"Bida",336717,0.646356
22940,"Borgu",181209,0.670764
22941,"Bosso",364112,0.60241
22942,"Gbako",222810,0.633983
22943,"Gurara",231399,0.518648
22944,"Kontogur",383720,0.752618
22945,"Lapai",125929,0.606295
22946,"Lavun",348792,0.668696
22947,"Magama",189881,0.703559
22948,"Mokwa",208826,0.611563
22949,"Paikoro",165922,0.569006
22950,"Rafi",178637,0.71591
22951,"Rijau",161782,0.727589
22952,"Shiroro",384178,0.697998
22953,"Suleja",301223,0.45068
22954,"Wushishi",323081,0.676628
22955,"Abeokutanorth",497763,0.505416
22956,"Adoodo/ota",363700,0.549982
22957,"Egbadonorth",282268,0.537437
22958,"Egbadosouth",295686,0.563344
22959,"Ifo",484388,0.556472
22960,"Ijebueast",115347,0.512889
22961,"Ijebunorth",302295,0.507347
22962,"Ijebuode",358335,0.49882
22963,"Obafemi-owode",213372,0.54073
22964,"Odeda",116743,0.517107
22965,"Ogunwaterside",83000,0.502343
22966,"Shagamu",432358,0.524115
22920,"Irepodun (b)",236102,0.448414
22992,"Atakumosa",224227,0.522669
22993,"Ayedaade",88343,0.515624
22994,"Ayedire",68860,0.522089
22995,"Boripe",201145,0.516895
22996,"Ede",105777,0.49031
22997,"Egbedore",91001,0.494179
22998,"Ejigbo",148825,0.504651
22999,"Ifecentral",459483,0.472995
23000,"Ifelodun",143296,0.465191
23001,"Ifenorth",119982,0.532787
23002,"Ifesouth",127774,0.511325
23003,"Ila",151343,0.541016
23004,"Ilesa",157539,0.475928
23005,"Irewole",305145,0.49794
23006,"Iwo",228145,0.475536
23007,"Obokun",138915,0.543727
23008,"Odo0tin",171107,0.518689
23009,"Ola-oluwa",77042,0.499214
23010,"Olorunda",152717,0.460341
23011,"Oriade",272274,0.526927
23012,"Osogbo",147550,0.405407
